pdb,group,roi_frac
3PLZ,HIGH,0.22887235119493934
4PLD,HIGH,0.04761528794582671
5L11,HIGH,0.09312081182012905
5SYZ,HIGH,0.08651984292847398
5UNJ,HIGH,0.10413812336177138
6OQX,HIGH,0.11327473642066935
6OQY,HIGH,0.11594027201227937
6OR1,HIGH,0.11859184200267157
6VC2,HIGH,0.10716836039386564
1YOK,LOW,0.1670618728662454
1YUC,LOW,0.2775900545476183
1ZDU,LOW,0.22919414583662343
3TX7,LOW,0.06457047784855602
4DOR,LOW,0.19357733543590744
4DOS,LOW,0.26432845004163913
4ONI,LOW,0.30893176812546236
4PLE,LOW,0.34927029087561157
4RWV,LOW,0.34781854110445964
